sheet,method,run_id,pipe_id,points_before,points_after,length_px_before,length_px_after,length_change_px,length_change_percent,max_discarded_deviation_px,retained_topology,retained_length_budget,retained_deviation,retained_reversal
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-32,18,4,238.49631320658187,238.33112954492807,-0.16518366165379916,-0.069260467565685,0.696096154662318,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-33,3,2,11.039999999999964,11.039999999999964,0.0,0.0,8.881784197001252e-16,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-34,22,4,326.9533648237227,326.8844389183565,-0.06892590536619991,-0.021081265030981223,0.4698905716256004,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-35,3,2,22.079999999999927,22.079999999999927,0.0,0.0,0.0,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-36,10,5,125.33361413681433,125.3177539659425,-0.015860170871832224,-0.012654363301547534,0.1788466302075997,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-37,8,2,122.63999999999999,122.63999999999999,0.0,0.0,7.105427357601002e-15,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-38,18,4,201.3449285488668,201.20614386815322,-0.1387846807135702,-0.06892881867639736,0.8046672031619474,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-39,28,5,371.7038096013541,371.3865188238011,-0.31729077755301205,-0.085361185265575,0.9083140064304189,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-40,3,2,15.3599999999999,15.3599999999999,0.0,0.0,0.0,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-41,16,4,232.33375629227163,232.17692422193593,-0.15683207033569602,-0.06750292029816111,0.628959516179481,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-42,3,2,47.27999999999997,47.27999999999997,0.0,0.0,3.552713678800501e-15,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-43,11,3,169.50751503711138,169.50751503711138,0.0,0.0,6.787449953031483e-14,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-44,18,3,305.6517042851759,305.6515548833389,-0.00014940183700673515,-4.887976573078154e-05,0.04795851517350822,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-45,3,2,27.0,27.0,0.0,0.0,0.0,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-46,10,5,55.191587640110214,55.17794497454744,-0.013642665562777267,-0.024718740927942667,0.1634838088589544,,4 6,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-47,11,2,150.7199999999998,150.7199999999998,0.0,0.0,1.4210854715202004e-14,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-48,32,3,590.4114994806091,590.4092812722031,-0.0022182084060204943,-0.0003757054881166567,0.16970562748469495,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-49,4,2,37.92000000000007,37.92000000000007,0.0,0.0,1.7763568394002505e-15,,,,
